,CalllogID,Category,Content,Line,MemberLine,Speaker,content.split,Intent,IntentScore,IntentScoreConfidence,ChatIDLineCount
0,368428,Member,密码多次输入错误   游戏帐号被封 ,2,1,suibian11,密码 多次 输入 错误 游戏 帐号 被 封 ,-,0.0,0.0,2
2,368429,Member,你好 能帮我更改绑定手机号吗？ ,2,1,tbfubin584,你好 能 帮 我 更改 绑定 手机号 吗 ？ ,account/phone/如何更换电话号码？,20.03,1.0,2
4,368430,Member,用户名更改成功了没有 ,2,1,tbwxmgxfc,用户名 更改 成功 了 没有 ,account/忘记用户名,23.53,1.0,2
6,368431,Member,申请 500+500 ,2,1,zjg123456,申请 500+500 ,promotion/38APP彩金,26.91,1.0,1
7,368432,Member, 我这个优惠卷是最低存款要2000元吗 ,5,2,kmjsza147,我 这个 优惠 卷 是 最低 存款 要 2000 元 吗 ,-,0.0,0.0,1
8,368433,Member,还有没有  存500送500 的优惠？ ,2,1,ljb823424,还有 没有 存 500 送 500 的 优惠 ？ ,promotion/优惠事宜,25.54,1.0,2
10,368434,Member,你好 没更改到啊 ,2,1,tbfubin584,你好 没 更改 到 啊 ,-,0.0,0.0,2
12,368435,Member,你好 我想申请生日礼金 xf282141 ,2,1,xf282141,你好 我 想 申请 生日 礼金 xf282141 ,promotion/38APP彩金,24.73,1.0,1
13,368436,Member,申请转运彩金 ,2,1,tb0608fa,申请 转运 彩金 ,promotion/38APP彩金,69.67,4.0,2
15,368437,Member,手机验证了怎么不给体验金 ,2,1,zgd4567,手机验证 了 怎么 不 给 体验 金 ,promotion/注册彩金,20.43,1.0,2
17,368438,Member,我怎么没有生日奖金呢 ,2,1,TBcl123328,我 怎么 没有 生日 奖金 呢 ,-,0.0,0.0,2
19,368439,Member,换账号了我不知道，我充值到了张旭哪个卡里了 ,3,2,weishuai,换 账号 了 我 不知 道 ， 我 充值 到 了 张旭 哪个 卡里 了 ,-,0.0,0.0,1
20,368441,Member,信用卡可以充不? ,2,1,s512289,信用卡 可以 充 不 ? ,payment/deposit/others/请问支持信用卡充值吗？,35.49,2.0,1
21,368442,Member,可以领取生日礼金吗 ,2,1,zw860617,可以 领取 生日 礼金 吗 ,-,0.0,0.0,1
22,368443,Member,怎么我的晋级礼金没有呢？ ,2,1,mmjj139,怎么 我 的 晋级 礼金 没有 呢 ？ ,promotion/38APP彩金,27.98,1.0,2
24,368444,Member,可以领取生日礼金吗 ,2,1,zw860617,可以 领取 生日 礼金 吗 ,-,0.0,0.0,2
26,368445,Member,申请生日礼金 ,2,1,tbluo159134,申请 生日 礼金 ,promotion/38APP彩金,23.79,1.0,2
28,368447,Member,还有没有500送500 ,2,1,LJH10001,还有 没有 500 送 500 ,-,0.0,0.0,2
30,368448,Member,请问自助晋级是什么意思 ,3,2,Lw940822,请问 自助 晋级 是 什么 意思 ,-,0.0,0.0,1
31,368449,Member,你好，我副账户里好像有370多元钱 ,2,1,jujuehuiyi,你好 ， 我 副 账户 里 好像 有 370 多元 钱 ,-,0.0,0.0,2
33,368450,Member,支付宝扫码怎么存  ,2,1,lj8899lj,支付宝 扫 码 怎么 存 ,payment/deposit/online-alipay/在线支付宝存款,71.99,5.0,1
34,368451,Visitor,a5776405 申请存500送250卷 ,2,1,电话发,a5776405 申请 存 500 送 250 卷 ,-,0.0,0.0,2
36,368453,Member,什么时候反副账户的水！ ,2,1,lqq88011,什么 时候 反 副 账户 的 水 ！ ,promotion/rebate/咨询返水金额,21.12,1.0,2
38,368454,Member,申请生日礼金 ,2,1,ses52077,申请 生日 礼金 ,promotion/38APP彩金,23.79,1.0,2
40,368455,Member,存1000送1000 ,2,1,wori2468,存 1000 送 1000 ,promotion/38APP彩金,23.24,1.0,2
42,368456,Member,怎么换积分 ,2,1,www ,怎么 换 积分 ,-,0.0,0.0,2
44,368457,Member,申请 存500送500 ,2,1,cqh424,申请 存 500 送 500 ,promotion/38APP彩金,31.96,1.0,2
46,368458,Member,我的 游戏上不上了  ,3,2,tbdx100316,我 的 游戏 上 不 上 了 ,-,0.0,0.0,1
47,368459,Member,怎么这么久都没成功啊？ 访客传送了一个文件：Screenshot_2018-07-01-00-48-58-929_com.eg.android.AlipayGphone.png ,2,1,hyc1979,怎么 这么 久 都 没 成功 啊 ？ 访客 传送 了 一个 文件 ：Screenshot_2018-07-01-00-48-58-929_com . eg . android . AlipayGphone . png ,-,0.0,0.0,2
49,368460,Member,申请1000送1000 ,2,1,LJH10001,申请 1000 送 1000 ,promotion/38APP彩金,39.4,2.0,2
51,368461,Member,你好 七彩缤纷奖金 需要多少倍流水 ,2,1,hrtbwin,你好 七彩 缤纷 奖金 需要 多少 倍 流水 ,promotion/查询流水,26.84,1.0,2
53,368462,Member,新网站是什么 ,2,1,wgs9393,新 网站 是 什么 ,portal/乐天堂电脑版网址,21.6,1.0,1
54,368463,Member,我申请救援 ,2,1,daoge008,我 申请 救援 ,promotion/38APP彩金,26.82,1.0,2
56,368464,Member,哪里查看自己的积分？如何兑换东西 ,2,1,yq0919,哪里 查看 自己 的 积分 ？ 如何 兑换 东西 ,-,0.0,0.0,2
58,368465,Member,我存款又几把哪去了 ,2,1,tbdacaili888,我 存款 又 几把 哪 去 了 ,-,0.0,0.0,2
60,368466,Member,请问生日礼金怎么领取？？ ,2,1,tbyyj1314wjy,请问 生日 礼金 怎么 领取 ？ ？ ,-,0.0,0.0,2
62,368467,Member,生日礼金怎么申请啊 ,2,1,wq80229727,生日 礼金 怎么 申请 啊 ,promotion/38APP彩金,23.49,1.0,2
64,368468,Member,6230580000148895951孙浩 这个账号转入了300元 对方现在还没有显示到账 ,4,2,Lw940822,6230580000148895951 孙 浩 这个 账号 转入 了 300 元 对方 现在 还 没有 显示 到 账 ,-,0.0,0.0,1
65,368469,Member,申请个时运财金 ,2,1,xl850820,申请 个 时运 财 金 ,-,0.0,0.0,2
67,368470,Member,请问七彩缤纷 ,2,1,wbsir41,请问 七彩 缤纷 ,-,0.0,0.0,2
