,Command,DistToRfvThreshold,Text
0,portal/app/必威体育APP 安卓/苹果下载版,1.3218039207522587,精装 版 有 电 竞 吗 ？ 
1,portal/hijack/电脑版网页被劫持教程,0.5,
2,account/用户名或密码无效？超过尝试限制,1.2417486859148101,我 登 入 过 多 受限 制 了 怎么 弄 
3,portal/app/android/必威体育APP 安卓下载版,1.135191413851876,你们 必威 体育 app 有 链接 吗 ？ 
4,promotion/rebate/咨询返水金额,1.2471570839016073,帮 我 查 下 昨天 的 真人 流水 
5,smalltalk/私人问题,1.3372512252396451,约 炮 吗 
6,bet/slot/无法登入老虎机游戏/免费旋转或有未完成游戏,1.3339009519470437,按 几下 就 弹 出 了 返回 大厅 
7,common/谢谢,1.3279613887602664,谢 啦 
8,fundtransfer/无法进行转账,1.267460555695079,不能 转 帐 
9,payment/deposit/可否取消在线支付宝/京东支付/在线支付/云闪付处理中的存款申请？,1.247730137631213,存款 记录 可以 删除 吗 
10,promotion/livedealer/真人30%再存优惠,1.121967984948804,可否 介绍 一下 30% 存款 优惠 ？ 
11,promotion/rebate/老虎机返水,1.0676735311571681,老虎机 也 是 返还 1% 吗 还是 1 . 5% ？ 
12,payment/deposit/wechat/为什么我没有微信存款？,0.7699701346181833,刚 注册 ， 你们 这里 有没有 微信 存款 的 ？ 
13,payment/deposit/存款限额,1.357896127379135,云闪付 限制 额度 
14,common/必威常见问题,1.3437847167348431,您好 
15,payment/deposit/localbank/没有本银/支付宝存款收款账户， 存入旧账户,1.3712709703399013,上午 工作人员 给 我 电话 ， 要 转账 银行 凭证 
16,account/email/如何验证邮箱？,1.2559528224408691,怎么 弄 邮箱验证 
17,account/无法登陆必威账号,1.2127993179437906,你好 ， 怎么 登陆 不了 
18,account/忘记用户名,1.1700941683286346,我 忘 了 我 的 账号 
19,bet/sportsbook/体育常问问题,0.5,
20,bet/sportsbook/internal-intents/怎么在体育页面调整/搜寻赛事（手机）,0.5,
21,promotion/sportsbook/体育50%首存红利,1.29494467527742,充 反 百分 50 在 哪 领 
22,account/已经验证了， 但是还提示验证？,0.7805832685410549,在 个人 资料 已经 显示 验证 了 ， 还是 要 我 验证 ， 提 不了 
23,common/答非所问,1.3069578244107223,已经 很多 次 
24,bet/查询投注记录,1.3570034082863034,我 有 不知 道 哪里 能 查询 游戏 局 号 ， 具体 时间 也 记不清 楚 了 ， 反正 就是 这 一次 登录 的 前 一次 
25,payment/deposit/online-alipay/无法使用在线支付宝存款,0.9800146664476953,9 点 半 用 支付宝 扫 码 支付 一次 显示 商家 异常 ， 你们 客 服 说 过 会 再 用 ， 刚 用 又 是 一样 ， 存款 不 不了 
26,payment/deposit/存款申请状态,1.3033463759551829,速度 帮 我 核实 一下 进款 
27,portal/app/必威游戏APP 安卓/苹果下载版,0.8931522087154097,有没有 单一 老虎机 游戏 的 APP 
28,common/二维码,1.2989550302611956,为什么 扫 不了 
29,portal/如何清除火狐浏览器缓存,0.5600111942403664,火 狐 浏览器 上 怎么 删 缓存 啊 ？ 
30,smalltalk/proposals/小帮手 私人联系方式,1.2640595291290715,跟 我 约会 
31,promotion/查询流水,1.3094677851366046,帮 我 查 下 这个 月 的 盈利 情况 
32,bet/sportsbook/亚洲让分盘的规则,1.3426882928233297,足球 滚球 需要 扣除 当时 比分 吗 
33,promotion/slots/老虎机28%再存优惠,0.9309083638693622,老虎机 的 再 存 是 怎么 个 送 法 啊 
34,account/无法注册,1.094513072509327,刚刚 注销 了 ， 我 从 新 在 注册 不行 呢 
35,bet/livedealer/真人账户余额不对？,1.2714196863090177,我 在 扎 金花 ， 我 牙 50 给 我 扣 100 
36,bet/slot/pt/PT老虎机游戏账户,1.214237041720767,APP 输入 用户名 密码 后 显示 无法 登陆 ？ 
37,portal/如何清除谷歌浏览器缓存,0.6876477711051671,谷歌 要 在 哪里 删除 缓存 ？ 
