,Command,DistToRfvThreshold,Text
0,payment/deposit/ฝากเงินใช้เวลานานเท่าไหร่,1.1750580178331225,ทำ ราย การ หน้า เว็บ ไซ ต์ แล้ว ปรับ เมื่อไหร่ 
1,bet/livedealer/คาสิโนสดปรับบิลการเดิมพันแล้วแต่ไม่ได้รับเงิน,1.074089404246499,เงิน ใน คาสิโน หาย อ่ะ ค่ะ 
2,others/ลบคุ๊กกี้,1.2607265816474853,คุกกี้ 
3,bet/sportsbook/บิลอีสปอร์ตปรับแล้วแต่ไม่ได้รับเงิน,1.0007013824681839,ทำไม ที่ หน้า เว็บ ขึ้น ว่า ปรับ แล้ว 
4,bet/การเดิมพันยังไม่ปรับยอด,1.3168182923528455,รบ กวน อัป ยอด เดิม พัน ให้ หน่อย ครับ 
5,others/บลิสเกมส์,0.800095355191867,ยัง เข้า ไป ลุ้น รางวัล ใน หน้า บ ลิ ส เกมส์ ได้ ปะ 
6,bet/sportsbook/ยอดเงินบัญชีกีฬาติดลบ,0.7709813152477698,รีบ แก้ ไข เลย ครับ ทำไม ยอด เงิน ผม ถึง ติด ลบ ครับ 
7,promotion/ตรวจสอบยอดหมุนเวียนของโปรโมชั่น,1.0885807562611438,ยอด หมุน เ วี ย ถึง ไหน แล้ว 
8,payment/deposit/online/ขั้้นตอนการทำรายการฝาก Fast Baht,1.251061414126262,ฝาก fastbaht ยาก จัง 
9,account/การตั้งค่าส่วนตัว,1.2266975072106268,บล็อก ผม ไป เลย ก็ ได้ 
10,payment/withdrawal/ยกเลิกรายการถอนเงิน,0.8033184658601137,กรอก ข้อ มูล ผิด ยก เลิก การ ถอน ให้ หน่อย ครับ 
11,account/เปลี่ยนชื่อยูสเซอร์เนม,1.1859324167056111,ยูส เซ อ เนม คือ อะไร 
12,bet/sportsbook/System Parlay,1.1299913099618144,System Parlay คือ การ เดิม พัน หรอ ค่ะ 
