Brand,Lang,Intent Type,Category,Intent,Weight,Answer,Training Data,English,Answer Key
betway,cn,user,Others,如果完成设置白名单步骤并且还是无法在垃圾信箱收到必威邮件,1,可能中途传送邮件出现问题了。没关系的，您可以点选下方【转人工客服】协助的呢？,垃圾箱我看了也没有。。。,Unable to Receive Betway Email Even After Whitelisting,betway.cn.Others
betway,cn,system,Common,welcome,1,您好，我是通晓必威平台运作并具有【人工智能】的必威小帮手！请问您是遇到了什么疑问呢？必威小帮手非常乐意为您解答,,Welcome,betway.cn.Common
betway,cn,system,Common,welcome,1,你好。要什么？,,Welcome,betway.cn.Common
betway,cn,system,Common,welcome,2,什么啊,,Welcome,betway.cn.Common
betway,cn,system,Common,noanswer,1,不好意思，必威小帮手理解不了您的问题，请点击下方的按钮联系必威人工客服。请放心，必威团队正在汇总所有的资料，相信小帮手很快就能为您解决这个问题了！,,Cannot Find Answer,betway.cn.Common
betway,cn,system,Common,noanswer,2,对不起。我不懂你。,,Cannot Find Answer,betway.cn.Common
betway,cn,user,Common,不满,1,咦！必威小帮手做错了什么呢？您先不要生气，可以点击【<link>转人工客服</link>】反馈您遇上的问题呢~,"肏你妈
产你妈
等你妈的逼
操你妈
麻痹的就知道说你妈些废话
滚，你妈的你们吃钱也太狠心了
日你妈喂
玩你妈逼的玩
你妈逼的死全家的东西
你妈个逼
真你妈的傻逼
滚吧，操你妈，爱出不出，这个钱
选你妈个比。
我冷静你妈
你妈了个B
你妈的骗子
操你妈逼的
艹你妈
你妈那个丑逼
死爹死妈的畜生
你爹妈是一对狗男女
你他妈娃娃百分之百活不过一岁
你妈死了
尼玛那个骚逼
草泥马
去你妈垃圾客服
垃圾
老子靠你妈
王八蛋的
不得好死
王八蛋
你这个客服是个混蛋级别，再见
滚蛋去吧
你们吃屎的
财务吃屎的啊
这效率吃屎的？
吃屎，等那么久
一群吃屎的废物
死全家的狗杂种
毛B，吃屎的
你们这群死全家走狗
怎么都该死
什么鸡巴玩意那
你鸡巴
又是这鸡巴废话
啥鸡巴玩意
变个鸡巴！诈骗网址
干鸡巴啥啊
你们干鸡巴呢
你们真鸡巴是骗子
贼鸡巴丑
你们是不是变态的
小杂种
狗杂种
畜生
你是不是野种
贱狗
走狗
没屁眼
孽种
诅咒你们
都是骗子出身
世世代代都被强奸
你们逼威一帮废物垃圾
窝囊废逼威
垃圾平台
一点家教都没有
必威去死吧
去死吧
笨蛋
蠢
他妈的
傻逼吧
你奶了逼患有阴道瘙痒，肛裂。这些病快到网上晒晒吧",Unhappy,betway.cn.Common
betway,cn,user,Common,举报投诉,1,凡是都有解决的方案，您先不要冲动！正所谓：有福同享，有难同担~ 必威愿意当您的聆听者，您不妨咨询人工客服诉诉苦！,"看我一举报你们的账户就不能用
我必须举报到底
举报黑网站
我都已经报警还有举报了你们网站
我的目标就是反掉你们这个黑网站
搞到你们系统崩溃
你们被封网了
要直接去你们账户开户行那里举报账户人诈骗这样子应该应该更好一点。
让必威这个黑网倒闭
我马上上报中央
我已经去告你们必威了
我一直在网上举报你们
是不是要我取消申诉
我要报复你们
不搞你们逼威难解我心头之恨
我已经在网上和论坛公布你们的黑网站
我要投诉
投诉
投诉你们这个垃圾网站
投诉你们",Threaten to Report,betway.cn.Common
betway,cn,user,Common,二维码,1,"小帮手不明白您的意思呢~   请问您指的是：
 
<intentlink>在线支付宝/京东支付/在线支付/云闪付无法充值</intentlink>
 
<intentlink>必威APP无法登入或下载失败/卸载</intentlink>","没有二维码
找不到二维码
为什么没有二维码
二维码无法显示
为什么扫不了
二维码扫不了
怎么没有二维码？
给我发一下二维码
打不开二维码
扫二维码说商品信息有问题
二维码显示不出来
存款二维码无法显示
二维码都没了
弹不出二维码
二维码总是出不来
这个二维码都跳不出来
二维码去哪了
我已经试过了几次弹不出二维码
二维码识别不出来
下载不了你这个二微码",QR Code,betway.cn.Common
betway,cn,user,Common,必威常见问题,1,您好！请问有什么必威小帮手能协助您的呢？,"你好
您好
nihao
亲
妹妹
你好在吗
在吗
你在？
再？
有人在吗？
有人吗
客服在不
客服你好
客服在吗
客服在吗?
在不
在么
人呢
hi
hello
hey
yo
hola
annyung
annyunghahsehyo
privet
konichiwa
bonjour
bonjeur
ciao
salam
salaam
ola
ohayo
konbanwa
marhaba
在没
有人在没
不在吗
在
好了吗
你号
只有投注
有人不
？？
晚上好
zma
妹你好，",Greeting,betway.cn.Common
betway,cn,user,Common,提交不了,1,请问您是提交不了什么呢？存款，提款，优惠？不要惊，不要慌，点击【转人工客服】获得帮助哦~,"提交不了
无法提交
尝试了，一直提交不成功
提交不成功怎么办
说了提交不了
重新提交不了
你给我的链接，提交不了
我提交不了啊！
给我退回不然提交不了
提交不上啊
点击了根本没有办法提交
不行啊，怎么都提交不上",Submit Fail,betway.cn.Common
