Brand,Category,Intent,Intent ID,Intent Type,Lang,Text
betway,account,双重账号,account/双重账号,user,cn,我建立了两个账户 是不是得永久性冻结一个
betway,account,双重账号,account/双重账号,user,cn,我有两个账号，可以吗
betway,account,双重账号,account/双重账号,user,cn,我可以开多一个必威账户吗？这个账户我一直输钱
betway,account,双重账号,account/双重账号,user,cn,我被通知需要关闭其中一个账号，为什么
betway,account,双重账号,account/双重账号,user,cn,我被要求要选一个账号关闭，你可以帮我吗
betway,account,双重账号,account/双重账号,user,cn,双重账号
betway,account,双重账号,account/双重账号,user,cn,多重账号
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,如何更改会员账号信息如:邮箱，真实姓名，银行卡，生日日期，手机号
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,我要怎样更改我账户里的个人资料
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,可以改我的账户资料吗
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,可以请你帮我改我的资料吗？我改不到
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,如何改个人资料里的讯息
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,怎么改必威个人资料呢
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,我账户的个人资料可以改的吗
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,我可以更新我的账户资料吗
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,我想更新我的个人资料
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,怎样改个人资料
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,改个人资料
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,换个人信息
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,不知道怎么换个人讯息
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,个人资料错了怎么办
betway,account,如何更改必威账户讯息？,account/如何更改必威账户讯息？,user,cn,个人资料哪里填写
betway,account,如何更改用户名？,account/如何更改用户名？,user,cn,我不喜欢这个用户名，可以改吗
betway,account,如何更改用户名？,account/如何更改用户名？,user,cn,我可以改用户名吗
betway,account,如何更改用户名？,account/如何更改用户名？,user,cn,怎样改用户名呢
betway,account,如何更改用户名？,account/如何更改用户名？,user,cn,我填错了用户名，能改吗？
betway,account,如何更改用户名？,account/如何更改用户名？,user,cn,你好，我想要更改我的用户名
betway,account,如何更改用户名？,account/如何更改用户名？,user,cn,我找不到改用户名的入口
betway,account,如何更改用户名？,account/如何更改用户名？,user,cn,改用户名的入口
betway,account,如何更改用户名？,account/如何更改用户名？,user,cn,我想换个用户名怎么办
betway,account,如何更改用户名？,account/如何更改用户名？,user,cn,想换个简单点的用户名
betway,account,如何更改用户名？,account/如何更改用户名？,user,cn,去哪里操作更改用户名？
