Brand,Lang,Intent Type,Category,Intent,Intent ID,Text
fun88,cn,user,account,乐天堂账户相关问题,account/乐天堂账户相关问题,我想问账户相关问题
fun88,cn,user,account,乐天堂账户相关问题,account/乐天堂账户相关问题,账户
fun88,cn,user,account,乐天堂账户相关问题,account/乐天堂账户相关问题,亲亲可不可以帮我看看我的身份证号码是多少
fun88,cn,user,account,双重账号,account/双重账号,我建立了两个账户 是不是得永久性冻结一个
fun88,cn,user,account,双重账号,account/双重账号,我有两个账号，可以吗
fun88,cn,user,account,双重账号,account/双重账号,我可以开多一个乐天堂账户吗？这个账户我一直输钱
fun88,cn,user,account,双重账号,account/双重账号,我被通知需要关闭其中一个账号，为什么
fun88,cn,user,account,双重账号,account/双重账号,我被要求要选一个账号关闭，你可以帮我吗
fun88,cn,user,account,双重账号,account/双重账号,双重账号
fun88,cn,user,account,双重账号,account/双重账号,多重账号
fun88,cn,user,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,账户的名字写错了怎么办？
fun88,cn,user,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,怎么改名字啊
fun88,cn,user,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,账户姓名打错字了，怎么改啊
fun88,cn,user,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,名字写错了，找谁改啊
fun88,cn,user,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,账户的姓名不是我的可以提款吗？
fun88,cn,user,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,账号姓名是我乱写的，现在不能提款怎么办
fun88,cn,user,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,如果我 乱写了名字，会不会影响提款啊？
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,如何更改会员账号信息如:邮箱，真实姓名，银行卡，生日日期，手机号
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,我要怎样更改我账户里的个人资料
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,可以改我的账户资料吗
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,可以请你帮我改我的资料吗？我改不到
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,如何改个人资料里的讯息
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,怎么改乐天堂个人资料呢
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,我账户的个人资料可以改的吗
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,我可以更新我的账户资料吗
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,我想更新我的个人资料
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,怎样改个人资料
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,改个人资料
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,换个人信息
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,不知道怎么换个人讯息
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,个人资料错了怎么办
fun88,cn,user,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,个人资料哪里填写
fun88,cn,user,account,如何更改用户名？,account/如何更改用户名？,我不喜欢这个用户名，可以改吗
fun88,cn,user,account,如何更改用户名？,account/如何更改用户名？,我可以改用户名吗
fun88,cn,user,account,如何更改用户名？,account/如何更改用户名？,怎样改用户名呢
fun88,cn,user,account,如何更改用户名？,account/如何更改用户名？,我填错了用户名，能改吗？
fun88,cn,user,account,如何更改用户名？,account/如何更改用户名？,你好，我想要更改我的用户名
fun88,cn,user,account,如何更改用户名？,account/如何更改用户名？,我找不到改用户名的入口
fun88,cn,user,account,如何更改用户名？,account/如何更改用户名？,改用户名的入口
fun88,cn,user,account,如何更改用户名？,account/如何更改用户名？,我想换个用户名怎么办
fun88,cn,user,account,如何更改用户名？,account/如何更改用户名？,想换个简单点的用户名
fun88,cn,user,account,如何更改用户名？,account/如何更改用户名？,去哪里操作更改用户名？
fun88,cn,user,account,如何激活账户,account/如何激活账户,帮我重新激活账号
fun88,cn,user,account,如何激活账户,account/如何激活账户,怎么激活账户
fun88,cn,user,account,如何激活账户,account/如何激活账户,问下注销的号可以解锁码？
fun88,cn,user,account,如何激活账户,account/如何激活账户,可以解锁吗？
fun88,cn,user,account,如何激活账户,account/如何激活账户,帮我激活
fun88,cn,user,account,如何激活账户,account/如何激活账户,我能恢复之前注消的帐号吗
fun88,cn,user,account,如何激活账户,account/如何激活账户,解除冻结账号
fun88,cn,user,account,如何激活账户,account/如何激活账户,之前注销了，想重新开通
fun88,cn,user,account,如何激活账户,account/如何激活账户,请问如何激活账户
fun88,cn,user,account,如何激活账户,account/如何激活账户,为什么我的账户还没有被激活？
fun88,cn,user,account,如何激活账户,account/如何激活账户,我需要提供什么文件才能激活账户？
fun88,cn,user,account,如何激活账户,account/如何激活账户,我现在想要入金，能现在激活我的账户吗？
fun88,cn,user,account,如何激活账户,account/如何激活账户,我跟我朋友同时申请开户，怎么他的账户激活了可是我的还没有激活呢？
fun88,cn,user,account,如何激活账户,account/如何激活账户,申请开户之后需要多久才能激活我的账户？
fun88,cn,user,account,如何激活账户,account/如何激活账户,账户怎么还没激活啊？
fun88,cn,user,account,如何激活账户,account/如何激活账户,請協助我激活我的賬戶
fun88,cn,user,account,如何激活账户,account/如何激活账户,兩天了，為什麼我的賬戶還沒激活？
fun88,cn,user,account,如何激活账户,account/如何激活账户,還需要多久才能激活賬戶？
fun88,cn,user,account,如何激活账户,account/如何激活账户,开通账号
fun88,cn,user,account,如何激活账户,account/如何激活账户,恢复帐号
fun88,cn,user,account,已经验证了， 但是还提示验证？,account/已经验证了， 但是还提示验证？,我已经验证邮箱了，为什么还要验证？
fun88,cn,user,account,已经验证了， 但是还提示验证？,account/已经验证了， 但是还提示验证？,已经验证好了，为什么还是一直提示我要验证
fun88,cn,user,account,已经验证了， 但是还提示验证？,account/已经验证了， 但是还提示验证？,已经点击验证了，怎么还是要我验证
fun88,cn,user,account,已经验证了， 但是还提示验证？,account/已经验证了， 但是还提示验证？,都显示已验证了，怎么提款的时候还是提示要验证啊
fun88,cn,user,account,已经验证了， 但是还提示验证？,account/已经验证了， 但是还提示验证？,怎么才算验证好，已经验证了还是要我进行验证呢
fun88,cn,user,account,已经验证了， 但是还提示验证？,account/已经验证了， 但是还提示验证？,我已经验证了邮箱，提款怎么还是要我进行验证
fun88,cn,user,account,已经验证了， 但是还提示验证？,account/已经验证了， 但是还提示验证？,一直要验证，但是我已经验证好了呀
fun88,cn,user,account,已经验证了， 但是还提示验证？,account/已经验证了， 但是还提示验证？,显示已验证，可是提款时还是提示我要验证
fun88,cn,user,account,已经验证了， 但是还提示验证？,account/已经验证了， 但是还提示验证？,在个人资料已经显示验证了，还是要我验证，提不了
fun88,cn,user,account,已经验证了， 但是还提示验证？,account/已经验证了， 但是还提示验证？,为什么我无法提款，一直让我验证，我验证了呀
fun88,cn,user,account,忘记用户名,account/忘记用户名,我忘记账号
fun88,cn,user,account,忘记用户名,account/忘记用户名,我忘了我的账号
fun88,cn,user,account,忘记用户名,account/忘记用户名,我之前注册忘记用户名了怎么办啊
fun88,cn,user,account,忘记用户名,account/忘记用户名,我忘记了自己的会员账号
fun88,cn,user,account,忘记用户名,account/忘记用户名,我忘了用户名
fun88,cn,user,account,忘记用户名,account/忘记用户名,我忘了账号怎么办？
fun88,cn,user,account,忘记用户名,account/忘记用户名,我忘记账号了
fun88,cn,user,account,忘记用户名,account/忘记用户名,账号我忘记了
fun88,cn,user,account,忘记用户名,account/忘记用户名,在哪里看用户名？
fun88,cn,user,account,忘记用户名,account/忘记用户名,我的用户名是什么？
fun88,cn,user,account,忘记用户名,account/忘记用户名,用户名是什么？
fun88,cn,user,account,忘记用户名,account/忘记用户名,用户名信息会发送电邮给我吗？
fun88,cn,user,account,忘记用户名,account/忘记用户名,不记得用户名了怎么办？
fun88,cn,user,account,忘记用户名,account/忘记用户名,我可以怎样找回用户名
fun88,cn,user,account,忘记用户名,account/忘记用户名,我不清楚我的用户名
fun88,cn,user,account,忘记用户名,account/忘记用户名,我忘记我的名称了
fun88,cn,user,account,忘记用户名,account/忘记用户名,我用客户端，忘记用户名
fun88,cn,user,account,忘记用户名,account/忘记用户名,我用手机，忘记用户名
fun88,cn,user,account,忘记用户名,account/忘记用户名,我用电脑，忘记用户名
fun88,cn,user,account,忘记用户名,account/忘记用户名,忘记用户名以及邮箱
fun88,cn,user,account,想要申请注销账号,account/想要申请注销账号,你好，怎么注销账号呢
fun88,cn,user,account,想要申请注销账号,account/想要申请注销账号,帮我注销账户
fun88,cn,user,account,想要申请注销账号,account/想要申请注销账号,可以注销账号吗
fun88,cn,user,account,想要申请注销账号,account/想要申请注销账号,能帮我注销账户吗
fun88,cn,user,account,想要申请注销账号,account/想要申请注销账号,"能不能注销掉,让我永远不能登录"
fun88,cn,user,account,想要申请注销账号,account/想要申请注销账号,怎么销号
fun88,cn,user,account,想要申请注销账号,account/想要申请注销账号,快点帮我注销
fun88,cn,user,account,想要申请注销账号,account/想要申请注销账号,可以注销吗
fun88,cn,user,account,想要申请注销账号,account/想要申请注销账号,帮我注销
fun88,cn,user,account,想要申请注销账号,account/想要申请注销账号,注销
fun88,cn,user,account,想要申请注销账号,account/想要申请注销账号,问下，怎么注销账户呀
fun88,cn,user,account,我的推荐码是什么,account/我的推荐码是什么,我的推荐码是什么
fun88,cn,user,account,我的推荐码是什么,account/我的推荐码是什么,不填推荐码会不会影响我注册
fun88,cn,user,account,我的推荐码是什么,account/我的推荐码是什么,推荐码是什么
fun88,cn,user,account,我的推荐码是什么,account/我的推荐码是什么,怎么获得推荐码
fun88,cn,user,account,我的推荐码是什么,account/我的推荐码是什么,推荐码哪里可以获取？
fun88,cn,user,account,我的推荐码是什么,account/我的推荐码是什么,注册时的这个推荐码是什么
fun88,cn,user,account,我的推荐码是什么,account/我的推荐码是什么,注册需要填写推荐码
fun88,cn,user,account,我的推荐码是什么,account/我的推荐码是什么,在哪里可以获得这个推荐码呀
fun88,cn,user,account,我的推荐码是什么,account/我的推荐码是什么,问一下，这个推荐码是什么，一定要填写才能注册吗
fun88,cn,user,account,我的推荐码是什么,account/我的推荐码是什么,推荐码是跟客服领取吗
fun88,cn,user,account,我的推荐码是什么,account/我的推荐码是什么,我朋友推荐我来，去哪里拿推荐码
fun88,cn,user,account,我的推荐码是什么,account/我的推荐码是什么,推荐代码在那查看
fun88,cn,user,account,无法注册,account/无法注册,为什么我无法注册
fun88,cn,user,account,无法注册,account/无法注册,提示我的邮箱被人注册了，我不能注册
fun88,cn,user,account,无法注册,account/无法注册,为什么还不能注册
fun88,cn,user,account,无法注册,account/无法注册,系统说我不能注册
fun88,cn,user,account,无法注册,account/无法注册,可以告诉我为什么不能注册
fun88,cn,user,account,无法注册,account/无法注册,无法注册
fun88,cn,user,account,无法注册,account/无法注册,不可以注册
fun88,cn,user,account,无法注册,account/无法注册,注册不到
fun88,cn,user,account,无法注册,account/无法注册,不能注册
fun88,cn,user,account,无法注册,account/无法注册,注册不了
fun88,cn,user,account,无法注册,account/无法注册,我想注册新号，但是注册不了
fun88,cn,user,account,无法注册,account/无法注册,我想问下为什么我注册不上啊
fun88,cn,user,account,无法注册,account/无法注册,我想注册，但是提示我邮箱已经被使用
fun88,cn,user,account,无法注册,account/无法注册,怎么注册不了
fun88,cn,user,account,无法注册,account/无法注册,刚刚注销了，我从新在注册不行呢
fun88,cn,user,account,无法登陆乐天堂账号,account/无法登陆乐天堂账号,我怎么登不上我的帐号了
fun88,cn,user,account,无法登陆乐天堂账号,account/无法登陆乐天堂账号,账号怎么登入不上去了
fun88,cn,user,account,无法登陆乐天堂账号,account/无法登陆乐天堂账号,为什么我的账号无法登录
fun88,cn,user,account,无法登陆乐天堂账号,account/无法登陆乐天堂账号,我的帐号点无法登陆
fun88,cn,user,account,无法登陆乐天堂账号,account/无法登陆乐天堂账号,你好，为什么我的帐号不能登入呀
fun88,cn,user,account,无法登陆乐天堂账号,account/无法登陆乐天堂账号,你好，我的账号怎么登不上了
fun88,cn,user,account,无法登陆乐天堂账号,account/无法登陆乐天堂账号,我赢钱了，为什么账户突然禁用了
fun88,cn,user,account,无法登陆乐天堂账号,account/无法登陆乐天堂账号,禁用我的账号，什么意思
