IntentIndex,Category,Intent,Intent ID,Brand,Lang,TextLength,Text,TextSegmented
1,account,乐天堂账户相关问题,account/乐天堂账户相关问题,fun88,cn,9.0,我想问账户相关问题,我 想 问 账户 相关 问题 
2,account,乐天堂账户相关问题,account/乐天堂账户相关问题,fun88,cn,2.0,账户,账户 
3,account,乐天堂账户相关问题,account/乐天堂账户相关问题,fun88,cn,20.0,亲亲可不可以帮我看看我的身份证号码是多少,亲 亲 可不可以 帮 我 看看 我 的 身份证 号码 是 多少 
1,account,双重账号,account/双重账号,fun88,cn,20.0,我建立了两个账户 是不是得永久性冻结一个,我 建立 了 两个 账户 是不是 得 永久性 冻结 一个 
2,account,双重账号,account/双重账号,fun88,cn,10.0,我有两个账号，可以吗,我 有 两个 账号 ， 可以 吗 
3,account,双重账号,account/双重账号,fun88,cn,23.0,我可以开多一个乐天堂账户吗？这个账户我一直输钱,我 可以 开 多 一个 乐天堂 账户 吗 ？ 这个 账户 我 一直 输钱 
4,account,双重账号,account/双重账号,fun88,cn,18.0,我被通知需要关闭其中一个账号，为什么,我 被 通知 需要 关闭 其中 一个 账号 ， 为什么 
5,account,双重账号,account/双重账号,fun88,cn,19.0,我被要求要选一个账号关闭，你可以帮我吗,我 被 要求 要 选 一个 账号 关闭 ， 你 可以 帮 我 吗 
6,account,双重账号,account/双重账号,fun88,cn,4.0,双重账号,双重 账号 
7,account,双重账号,account/双重账号,fun88,cn,4.0,多重账号,多重 账号 
1,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,fun88,cn,12.0,账户的名字写错了怎么办？,账户 的 名字 写 错 了 怎么办 ？ 
2,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,fun88,cn,6.0,怎么改名字啊,怎么 改名 字 啊 
3,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,fun88,cn,13.0,账户姓名打错字了，怎么改啊,账户 姓名 打 错字 了 ， 怎么 改 啊 
4,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,fun88,cn,10.0,名字写错了，找谁改啊,名字 写 错 了 ， 找 谁 改 啊 
5,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,fun88,cn,15.0,账户的姓名不是我的可以提款吗？,账户 的 姓名 不是 我 的 可以 提款 吗 ？ 
6,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,fun88,cn,19.0,账号姓名是我乱写的，现在不能提款怎么办,账号 姓名 是 我 乱 写 的 ， 现在 不能 提款 怎么办 
7,account,如何更换账户真实姓名？,account/如何更换账户真实姓名？,fun88,cn,19.0,如果我 乱写了名字，会不会影响提款啊？,如果 我 乱 写 了 名字 ， 会 不会 影响 提款 啊 ？ 
1,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,32.0,如何更改会员账号信息如:邮箱，真实姓名，银行卡，生日日期，手机号,如何 更改 会员 账号 信息 如 : 邮箱 ， 真实 姓名 ， 银行卡 ， 生日 日期 ， 手机号 
2,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,15.0,我要怎样更改我账户里的个人资料,我 要 怎样 更改 我 账户 里 的 个人 资料 
3,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,10.0,可以改我的账户资料吗,可以 改 我 的 账户 资料 吗 
4,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,17.0,可以请你帮我改我的资料吗？我改不到,可以 请 你 帮 我 改 我 的 资料 吗 ？ 我 改 不到 
5,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,11.0,如何改个人资料里的讯息,如何 改 个人 资料 里 的 讯息 
6,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,11.0,怎么改乐天堂个人资料呢,怎么 改 乐天堂 个人 资料 呢 
7,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,13.0,我账户的个人资料可以改的吗,我 账户 的 个人 资料 可以 改 的 吗 
8,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,12.0,我可以更新我的账户资料吗,我 可以 更新 我 的 账户 资料 吗 
9,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,10.0,我想更新我的个人资料,我 想 更新 我 的 个人 资料 
10,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,7.0,怎样改个人资料,怎样 改 个人 资料 
11,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,5.0,改个人资料,改 个人 资料 
12,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,5.0,换个人信息,换 个人 信息 
13,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,10.0,不知道怎么换个人讯息,不知 道 怎么 换 个人 讯息 
14,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,9.0,个人资料错了怎么办,个人 资料 错 了 怎么办 
15,account,如何更改乐天堂账户讯息？,account/如何更改乐天堂账户讯息？,fun88,cn,8.0,个人资料哪里填写,个人 资料 哪里 填写 
1,account,如何更改用户名？,account/如何更改用户名？,fun88,cn,14.0,我不喜欢这个用户名，可以改吗,我 不 喜欢 这个 用户名 ， 可以 改 吗 
2,account,如何更改用户名？,account/如何更改用户名？,fun88,cn,8.0,我可以改用户名吗,我 可以 改用 户 名 吗 
3,account,如何更改用户名？,account/如何更改用户名？,fun88,cn,7.0,怎样改用户名呢,怎样 改用 户 名 呢 
4,account,如何更改用户名？,account/如何更改用户名？,fun88,cn,12.0,我填错了用户名，能改吗？,我 填 错 了 用户名 ， 能 改 吗 ？ 
