IntentIndex,Category,Intent,Intent ID,Brand,Lang,TextLength,Text,TextSegmented
1,cx,APP,cx/APP,fun88,th,6,มือถือ,มือถือ
2,cx,APP,cx/APP,fun88,th,3,แอพ,แอพ
3,cx,APP,cx/APP,fun88,th,6,เอาออก,เอาออก
4,cx,APP,cx/APP,fun88,th,7,ตั้งค่า,ตั้งค่า
5,cx,APP,cx/APP,fun88,th,3,IOS,IOS
6,cx,APP,cx/APP,fun88,th,6,แอนดอย,แอนดอย
7,cx,APP,cx/APP,fun88,th,5,apple,apple
8,cx,APP,cx/APP,fun88,th,4,ระบบ,ระบบ
9,cx,APP,cx/APP,fun88,th,7,ซอฟแวร์,ซอฟแวร์
10,cx,APP,cx/APP,fun88,th,12,แอพพลิเคชั่น,แอพพลิเคชั่น
11,cx,APP,cx/APP,fun88,th,7,โปรแกรม,โปรแกรม
12,cx,APP,cx/APP,fun88,th,4,โหลด,โหลด
13,cx,APP,cx/APP,fun88,th,9,ดาวน์โหลด,ดาวน์โหลด
14,cx,APP,cx/APP,fun88,th,9,เวอร์ชั่น,เวอร์ชั่น
1,cx,UI,cx/UI,fun88,th,9,น่าเกลียด,น่าเกลียด
2,cx,UI,cx/UI,fun88,th,10,ไม่น่าสนใจ,ไม่น่าสนใจ
3,cx,UI,cx/UI,fun88,th,6,ไม่สวย,ไม่สวย
4,cx,UI,cx/UI,fun88,th,3,กาก,กาก
5,cx,UI,cx/UI,fun88,th,3,ยาก,ยาก
6,cx,UI,cx/UI,fun88,th,6,ไม่ชอบ,ไม่ชอบ
7,cx,UI,cx/UI,fun88,th,3,แย่,แย่
8,cx,UI,cx/UI,fun88,th,4,ห่วย,ห่วย
9,cx,UI,cx/UI,fun88,th,3,เซง,เซง
10,cx,UI,cx/UI,fun88,th,7,ยุ่งยาก,ยุ่งยาก
11,cx,UI,cx/UI,fun88,th,4,ปุ่ม,ปุ่ม
12,cx,UI,cx/UI,fun88,th,4,กรอก,กรอก
13,cx,UI,cx/UI,fun88,th,8,หน้าเว็บ,หน้าเว็บ
14,cx,UI,cx/UI,fun88,th,5,ค้นหา,ค้นหา
15,cx,UI,cx/UI,fun88,th,3,แถบ,แถบ
16,cx,UI,cx/UI,fun88,th,5,ไอคอน,ไอคอน
1,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,fun88,th,12,ปิดการใช้งาน,ปิด การ ใช้ งาน 
2,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,fun88,th,25,ต้องการระงับการเข้าใช้งาน,ต้องการ ระงับ การ เข้า ใช้ งาน 
3,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,fun88,th,26,ขอปิดการเข้าใช้งานไปเลยคับ,ขอ ปิด การ เข้า ใช้ งาน ไป เลย ครับ 
4,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,fun88,th,24,ยกเลิก ไม่เข้าใช้งานแล้ว,ยก เลิก ไม่ เข้า ใช้ งาน แล้ว 
5,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,fun88,th,31,ตั้งค่าจำกัดการเข้าใช้งานตรงไหน,ตั้ง ค่า จำกัด การ เข้า ใช้ งาน ตรง ไหน 
6,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,fun88,th,25,จะไม่เข้ามาเล่นสักอาทิตย์,จะ ไม่ เข้า มา เล่น สัก อาทิตย์ 
7,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,fun88,th,18,หยุดเล่นถาวรเลยคับ,หยุด เล่น ถาวร เลย ครับ 
8,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,fun88,th,13,เลิกเล่น ทำไง,เลิก เล่น ทำ ไง 
9,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,fun88,th,21,ไม่อยากเล่นแล้วปิดเลย,ไม่ อยาก เล่น แล้ว ปิด เลย 
10,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,fun88,th,17,บล็อกผมไปเลยก็ได้,บล็อก ผม ไป เลย ก็ ได้ 
1,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,fun88,th,5,บัญชี,บัญชี 
2,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,fun88,th,8,ยูสเซอร์,ยูสเซอร์ 
3,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,fun88,th,11,ยูสเซอร์เนม,ยูสเซอร์ เนม 
4,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,fun88,th,10,การตั้งค่า,การ ตั้ง ค่า 
5,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,fun88,th,7,ปลดล็อค,ปลด ล็อค
6,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,fun88,th,4,ล็อค,ล็อค
